id,screening_status,title,date,doi,topic,reason,screening_basis,abstract_source,zotero_keys,collections,pdf_attachment_keys,existing_wiki_page
S061,B1 第二批候选,Effects of seasalt and sulfate additions on the melting and crystallization behavior of CMAS glass,11/2025,10.1111/ijac.70043,混合沉积物,海盐/硫酸盐加入CMAS后的熔化结晶实验及CALPHAD，扩展四元模型适用边界。,标题+完整摘要,Zotero abstractNote,GAC7DQPH,scopus_1;scopus_2,,
S062,B2 专题储备,Effects of yttria content on the CMAS infiltration resistance of yttria stabilized thermal barrier coatings system,2020,10.1016/j.jmst.2019.09.039,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,YUWL2DCS,scopus_1,,
S063,B2 专题储备,Evaluating the sand resistance of tailored thermal barrier coatings for gas turbine engines,2018,10.2514/6.2018-4829,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,NLLDU3CE,scopus_1,,
S064,B2 专题储备,"Evaluation of molten sand, dust, and ash infiltrating thermal barrier coatings: numerical and analytical approaches",2024,10.1063/5.0234882,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,KPPJW9AL,scopus_1;scopus_2,,
S065,B2 专题储备,Evolution of hardness and young's modulus with phase transformation of EB-PVD thermal barrier coatings corroded by volcanic ash,2017,,微结构/损伤,与微结构或损伤有关；作为核心涂层验证文献的补充，具体试验与模型边界待全文核查。,标题+完整摘要,Zotero abstractNote,B4S9R8QC,scopus_1,,
S066,B2 专题储备,Evolution of the microstructure and mechanisms of performance degradation in EB-PVD YSZ thermal barrier coatings corroded by volcanic ash at 1150 °C,2022,10.1016/j.corsci.2022.110626,微结构/损伤,与微结构或损伤有关；作为核心涂层验证文献的补充，具体试验与模型边界待全文核查。,标题+摘要节选（初筛）,Zotero abstractNote,PYN9N5B4,scopus_1,,
S067,B2 专题储备,Evolution of the thermal conductivity of Sm2Zr2O7 under CMAS attack,2017,10.1007/978-3-319-52333-0_21,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,QMRV4G5N,scopus_1,,
S068,C 本轮暂不纳入,Experimental investigation of ash deposition behaviour modification of straws by lignite addition,10/2017,10.1016/j.applthermaleng.2017.06.144,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,PA9BJLAK,scopus_2,,
S069,C 本轮暂不纳入,Experimental study and thermodynamic modelling of high temperature interactions between molten miscanthus ashes and bed particles in fluidized bed reactors,2017,10.1007/s12649-017-9828-x,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,PDH5ZEQF,scopus_2,,
S070,C 本轮暂不纳入,Experimental study on treatment of Pb ion wastewater by alkali fusion modified steel slag,2024,10.19965/j.cnki.iwt.2023-0623,当前范围外,题名/摘要关注废物处理或金属回收，缺少本轮需要的涂层/陶瓷侵蚀对象。,标题+摘要节选（初筛）,Zotero abstractNote,AM2QJM5V,scopus_2,,
S071,B2 专题储备,Exploring the comprehensive performance of lotus-leaf-inspired biomimetic NdYbZr2O7 thermal barrier coatings,2024,10.1016/j.ceramint.2024.10.181,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,WQ5X59JC,scopus_1,,
S072,B2 专题储备,Factors influencing the penetration depth of molten volcanic ash in thermal barrier coatings: theoretical calculation and experimental testing,2019,10.1016/j.rinp.2019.102169,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,39LHJRUQ,scopus_1,,
S073,A 优先全文核查,Failure mechanism and protection strategy of thermal barrier coatings under CMAS attack,2022,10.7527/S1000-6893.2022.27613,背景综述,摘要涵盖CMAS组成、流变、热化学与热机械失效，适合作为背景入口；综述中的原始事实仍须追溯来源。,标题+完整摘要,Zotero abstractNote,V9H4UGN4,scopus_1;scopus_2,,
S074,B2 专题储备,Function of reaction layer in pyrochlore thermal barrier coatings against CMAS corrosion,2015,10.1149/06618.0053ecst,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,9MQSB7UI,scopus_1,,
S075,C 本轮暂不纳入,Fusibility characteristic and flow properties of semi-char from industrial circulating fluidized bed gasification,2018,10.1016/j.fuel.2018.07.129,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,PRRB8QUZ,scopus_2,,
S076,B2 专题储备,Fusion and TBC penetration characteristics of volcanic ash collected from active volcano,2020,10.1007/s11666-020-01015-8,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。,标题+摘要节选（初筛）,Zotero abstractNote,WZDBZVBY,scopus_1;scopus_3,,
S077,B2 专题储备,High temperature composition-controlled spreading dynamics of volcanic melts,2026,10.1016/j.chemgeo.2026.123436,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。,标题+完整摘要,Zotero abstractNote,JC99PYQW,scopus_1,,
S078,B2 专题储备,High temperature infiltration behavior and reaction characteristics of colima volcanic ashes on gadolinium zirconate coatings deposited by atmospheric plasma spraying,2024,10.1007/s42247-024-00677-2,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,LN7MUQ2N,scopus_1,,
S079,B2 专题储备,High temperature interactions between coal ash and MgO-based refractories in lime kiln conditions,2023,10.1016/j.fuel.2023.127711,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。 MgO耐火材料腐蚀属于较宽陶瓷腐蚀范围；本轮CMAS涂层背景优先级较低。,标题+摘要节选（初筛）,Zotero abstractNote,IVME957G,scopus_2,,
S080,B1 第二批候选,High-temperature corrosion of sintered RE2Si2O7 (RE = Yb and Ho) environmental barrier coating materials by volcanic ash,07/2024,10.1007/s12613-024-2899-3,二硅酸盐/天然灰,Yb与Ho二硅酸盐1400°C天然灰对照，可对照当前#23；保留各自指标，勿直接拼排名。,标题+完整摘要,Zotero abstractNote,Y2KD6QZH,scopus_1,,
