sid,title,doi,is_oa,download_url,fallback_url,note,collections
S023,Ceramic coatings in turbine applications,10.1016/B978-0-323-99624-2.00001-2,,,https://doi.org/10.1016/B978-0-323-99624-2.00001-2,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S025,Characterization and hot corrosion behavior of the La2(Zr0.7Ce0.3)2O7/8YSZ:Eu double ceramic layer coating prepared by atmospheric plasma spraying,10.1016/j.surfin.2020.100777,,,https://doi.org/10.1016/j.surfin.2020.100777,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S026,Characterization of thermochemical and thermomechanical properties of eyjafjallajokull volcanic ash glass,10.3390/coatings10020100,,,https://doi.org/10.3390/coatings10020100,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S029,CMAS degradation of EB-PVD TBCs: the effect of basicity,10.1016/j.surfcoat.2015.03.009,,,https://doi.org/10.1016/j.surfcoat.2015.03.009,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S030,CMAS infiltration and mitigation strategies for minimizing premature degradation failure of high temperature ceramic coatings in turbine engines,10.2514/6.2023-0179,,,https://doi.org/10.2514/6.2023-0179,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S032,CMAS-resistant plasma sprayed thermal barrier coatings based on Y 2O3-stabilized ZrO2 with Al3+ and Ti4+ solute additions,10.1007/s11666-014-0077-2,,,https://doi.org/10.1007/s11666-014-0077-2,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S035,Comparative study on the CMAS and volcanic ash corrosion resistance of (Sm0.7Yb0.3)2Zr2O7 ceramics,10.1016/j.ceramint.2025.12.379,,,https://doi.org/10.1016/j.ceramint.2025.12.379,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S036,Corrosion behavior of (Yb0.9Y0.1)2SiO5environmental barrier coating material against CMAS and volcanic ash: experimental and first-principles calculation,10.1016/j.ceramint.2025.08.055,,,https://doi.org/10.1016/j.ceramint.2025.08.055,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S037,Corrosion of thermal barrier coatings,,,,https://scholar.google.com/scholar?q=Corrosion+of+thermal+barrier+coatings,无精确匹配，需手动检索（2011 年同名条目）,scopus_1;scopus_2
S038,Corrosion of YSZ by different types of CMAS,10.1016/j.ceramint.2025.11.441,,,https://doi.org/10.1016/j.ceramint.2025.11.441,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S039,Corrosion resistance of multicomponent disilicate (Ho0.2Er0.2Tm0.2Yb0.2Lu0.2)2Si2O7 against CMAS and volcanic ash,10.1016/j.corsci.2024.112484,,,https://doi.org/10.1016/j.corsci.2024.112484,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S040,Crystallization of coal ash slags at high temperatures and effects on the viscosity,10.1021/ef201894p,,,https://doi.org/10.1021/ef201894p,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S041,Damage progression of thermal barrier coatings by CMAS,10.2472/jsms.64.134,,,https://doi.org/10.2472/jsms.64.134,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S042,Damage quantification and failure mechanism of EB-PVD thermal barrier coatings under CMAS corrosion,10.1016/j.surfcoat.2024.131554,,,https://doi.org/10.1016/j.surfcoat.2024.131554,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S043,Degradation mechanisms of air plasma sprayed free-standing yttria-stabilized zirconia thermal barrier coatings exposed to volcanic ash,10.1016/j.apsusc.2019.03.084,,,https://doi.org/10.1016/j.apsusc.2019.03.084,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S044,Degradation of La2Zr2O7 and other novel EB-PVD thermal barrier coatings by CMAS (CaO-MgO-Al2O3-SiO2) and volcanic ash deposits,10.1016/j.surfcoat.2013.07.029,,,https://doi.org/10.1016/j.surfcoat.2013.07.029,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S045,Densification and embrittlement mechanisms of EB-PVD columnar YSZ coatings under volcanic ash corrosion via in-situ micropillar compression,10.1016/j.corsci.2026.114102,,,https://doi.org/10.1016/j.corsci.2026.114102,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S046,Droplet size effects on the interfacial behavior between CMAS and GYbZ thermal barrier coating material surface,10.1016/j.apsusc.2026.166000,,,https://doi.org/10.1016/j.apsusc.2026.166000,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S047,Dual-phase barrier formation and inhibition of environmental deposit-induced grain boundary corrosion in rare earth zirconia-based TBCs,10.1016/j.surfcoat.2025.132614,,,https://doi.org/10.1016/j.surfcoat.2025.132614,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S048,Dynamic redissolution-reprecipitation of a “coral-like” reaction layer enables self-healing corrosion resistance in Yb-Gd-Y co-stabilized zirconia against molten volcanic ash,10.1016/j.corsci.2026.114098,,,https://doi.org/10.1016/j.corsci.2026.114098,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S049,EB-PVD alumina (Al2O3) as a top coat on 7YSZ TBCs against CMAS/VA infiltration: deposition and reaction mechanisms,10.1016/j.jeurceramsoc.2018.03.027,,,https://doi.org/10.1016/j.jeurceramsoc.2018.03.027,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S054,Effect of configuration entropy on resistance of rare-earth zirconate ceramics to CaO-MgO-Al2O3-SiO2,10.14062/j.issn.0454-5648.20240647,,,https://doi.org/10.14062/j.issn.0454-5648.20240647,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S055,Effect of semi-molten particulate on tailored thermal barrier coatings for gas turbine engine,10.2514/6.2016-4852,,,https://doi.org/10.2514/6.2016-4852,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S061,Effects of seasalt and sulfate additions on the melting and crystallization behavior of CMAS glass,10.1111/ijac.70043,,,https://doi.org/10.1111/ijac.70043,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S062,Effects of yttria content on the CMAS infiltration resistance of yttria stabilized thermal barrier coatings system,10.1016/j.jmst.2019.09.039,,,https://doi.org/10.1016/j.jmst.2019.09.039,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S063,Evaluating the sand resistance of tailored thermal barrier coatings for gas turbine engines,10.2514/6.2018-4829,,,https://doi.org/10.2514/6.2018-4829,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S064,"Evaluation of molten sand, dust, and ash infiltrating thermal barrier coatings: numerical and analytical approaches",10.1063/5.0234882,,,https://doi.org/10.1063/5.0234882,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S065,Evolution of hardness and young's modulus with phase transformation of EB-PVD thermal barrier coatings corroded by volcanic ash,,,,https://scholar.google.com/scholar?q=Evolution+of+hardness+and+young's+modulus+with+phase+transformation+of+EB-PVD+thermal+barrier+coatings+corroded+by+volcanic+ash,无精确匹配，需手动检索（2017 年硬度/杨氏模量演化条目）,scopus_1
S066,Evolution of the microstructure and mechanisms of performance degradation in EB-PVD YSZ thermal barrier coatings corroded by volcanic ash at 1150 °C,10.1016/j.corsci.2022.110626,,,https://doi.org/10.1016/j.corsci.2022.110626,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S067,Evolution of the thermal conductivity of Sm2Zr2O7 under CMAS attack,10.1007/978-3-319-52333-0_21,,,https://doi.org/10.1007/978-3-319-52333-0_21,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S071,Exploring the comprehensive performance of lotus-leaf-inspired biomimetic NdYbZr2O7 thermal barrier coatings,10.1016/j.ceramint.2024.10.181,,,https://doi.org/10.1016/j.ceramint.2024.10.181,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S072,Factors influencing the penetration depth of molten volcanic ash in thermal barrier coatings: theoretical calculation and experimental testing,10.1016/j.rinp.2019.102169,,,https://doi.org/10.1016/j.rinp.2019.102169,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S073,Failure mechanism and protection strategy of thermal barrier coatings under CMAS attack,10.7527/S1000-6893.2022.27613,,,https://doi.org/10.7527/S1000-6893.2022.27613,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S074,Function of reaction layer in pyrochlore thermal barrier coatings against CMAS corrosion,10.1149/06618.0053ecst,,,https://doi.org/10.1149/06618.0053ecst,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S076,Fusion and TBC penetration characteristics of volcanic ash collected from active volcano,10.1007/s11666-020-01015-8,,,https://doi.org/10.1007/s11666-020-01015-8,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S077,High temperature composition-controlled spreading dynamics of volcanic melts,10.1016/j.chemgeo.2026.123436,,,https://doi.org/10.1016/j.chemgeo.2026.123436,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S078,High temperature infiltration behavior and reaction characteristics of colima volcanic ashes on gadolinium zirconate coatings deposited by atmospheric plasma spraying,10.1007/s42247-024-00677-2,,,https://doi.org/10.1007/s42247-024-00677-2,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S079,High temperature interactions between coal ash and MgO-based refractories in lime kiln conditions,10.1016/j.fuel.2023.127711,,,https://doi.org/10.1016/j.fuel.2023.127711,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S080,High-temperature corrosion of sintered RE2Si2O7 (RE = Yb and Ho) environmental barrier coating materials by volcanic ash,10.1007/s12613-024-2899-3,,,https://doi.org/10.1007/s12613-024-2899-3,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S081,Hot corrosion behavior of plasma sprayed 4 mol% Y2O 3-ZrO2 thermal barrier coatings with volcanic ash,10.4191/kcers.2013.50.6.353,,,https://doi.org/10.4191/kcers.2013.50.6.353,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S082,Hot corrosion of RE 2 SiO 5 with different cation substitution under calcium–magnesium–aluminosilicate attack,10.1016/j.ceramint.2017.04.045,,,https://doi.org/10.1016/j.ceramint.2017.04.045,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S084,Impact interaction of in-flight high-energy molten volcanic ash droplets with jet engines,10.1016/j.actamat.2019.04.011,,,https://doi.org/10.1016/j.actamat.2019.04.011,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S086,In-situ synchrotron X-ray diffraction volcanic ash infiltration studies on high temperature ceramic coatings,10.2514/6.2024-2047,,,https://doi.org/10.2514/6.2024-2047,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S088,Influence of molten volcanic ash infiltration on the friability of APS thermal barrier coatings,10.1016/j.ceramint.2020.01.166,,,https://doi.org/10.1016/j.ceramint.2020.01.166,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S093,Integrated testing approach using a customized micro turbine for a volcanic ash and CMAS related degradation study of thermal barrier coatings,10.1016/j.surfcoat.2018.01.030,,,https://doi.org/10.1016/j.surfcoat.2018.01.030,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S094,"Interaction and infiltration behavior of eyjafjallajökull, sakurajima volcanic ashes and a synthetic CMAS containing FeO with/in EB-PVD ZrO2-65 wt% Y2 O3 coating at high temperature",10.1016/j.actamat.2017.06.055,,,https://doi.org/10.1016/j.actamat.2017.06.055,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S096,Interactions between rare-earth zirconates (RE2Zr2O7) and CMAS silicate melts,10.1016/j.corsci.2023.111526,,,https://doi.org/10.1016/j.corsci.2023.111526,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S097,Investigation of CMAS resistance of sacrificial suspension sprayed alumina topcoats on EB-PVD 7YSZ layers,10.1007/s11666-019-00951-4,,,https://doi.org/10.1007/s11666-019-00951-4,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S098,Investigation of vermiculite infiltration effect on microstructural properties of thermal barrier coatings (TBCs) produced by electron beam physical vapor deposition method (EB-PVD),10.1016/j.surfcoat.2022.128645,,,https://doi.org/10.1016/j.surfcoat.2022.128645,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S101,Lifetime and failure modes of plasma sprayed thermal barrier coatings in thermal gradient rig tests with simultaneous CMAS injection,10.1016/j.surfcoat.2017.04.071,,,https://doi.org/10.1016/j.surfcoat.2017.04.071,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S102,Lotus leaf inspired hierarchical micro-nano structure on NdYbZr2O7 ceramic pellet with enhanced volcanic ash repellence,10.1016/j.ceramint.2024.05.057,,,https://doi.org/10.1016/j.ceramint.2024.05.057,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S103,Mechanisms and mitigation of volcanic ash attack on yttria stablized zirconia thermal barrier coatings,10.1016/j.surfcoat.2014.09.015,,,https://doi.org/10.1016/j.surfcoat.2014.09.015,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S104,Mechanisms of La2Ce2O7/YSZ double-ceramic-layer thermal barrier coatings against volcanic ash corrosion,10.3390/coatings14070877,,,https://doi.org/10.3390/coatings14070877,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S106,Mechanistic study on the degradation of thermal barrier coatings induced by volcanic ash deposition,10.1007/s11666-017-0576-z,,,https://doi.org/10.1007/s11666-017-0576-z,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S107,"Medium-entropy (me,Ti)0.1(Zr,Hf,Ce)0.9O2 (me = Y and Ta): promising thermal barrier materials for high-temperature thermal radiation shielding and CMAS blocking",10.1016/j.jmst.2022.01.019,,,https://doi.org/10.1016/j.jmst.2022.01.019,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S110,Microstructural characterization of the interaction between 8YPSZ (EB-PVD) thermal barrier coatings and a synthetic CAS,10.1016/j.surfcoat.2013.11.014,,,https://doi.org/10.1016/j.surfcoat.2013.11.014,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S111,Microstructure characteristics of EB-PVD YSZ thermal barrier coatings corroded by molten volcanic ash,10.1016/j.surfcoat.2015.12.003,,,https://doi.org/10.1016/j.surfcoat.2015.12.003,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S113,Microstructure refinement of EB-PVD gadolinium zirconate thermal barrier coatings to improve their CMAS resistance,10.3390/coatings13050905,,,https://doi.org/10.3390/coatings13050905,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S116,Mitigation of damage from molten fly ash to air-plasma-sprayed thermal barrier coatings,10.1016/j.msea.2011.06.041,,,https://doi.org/10.1016/j.msea.2011.06.041,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S118,Modeling the viscosity and infiltration kinetics of silicate melt -thermal barrier coating systems based on deep-learning and experimental approach,10.1016/j.actamat.2025.121081,,,https://doi.org/10.1016/j.actamat.2025.121081,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S119,Modes of deposit-induced accelerated attack of MCrAlY systems at 1100 °C,10.1007/s11085-016-9669-1,,,https://doi.org/10.1007/s11085-016-9669-1,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S120,Molten particulate impact on tailored thermal barrier coatings for gas turbine engine,10.1115/1.4037599,,,https://doi.org/10.1115/1.4037599,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S121,Molten salt attack on multilayer and functionally-graded YSZ coatings,10.1016/j.ceramint.2018.04.062,,,https://doi.org/10.1016/j.ceramint.2018.04.062,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S122,Molten-silicate-induced degradation of ultra-high temperature ceramics,10.1016/j.jeurceramsoc.2026.118324,,,https://doi.org/10.1016/j.jeurceramsoc.2026.118324,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S123,Molten-volcanic-ash-phobic thermal barrier coating based on biomimetic structure,10.1002/advs.202205156,,,https://doi.org/10.1002/advs.202205156,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S124,Nanostructured Gd2Zr2O7: a promising thermal barrier coating with high resistance to CaO–MgO–Al2O3–SiO2 corrosion,10.1007/s41779-022-00822-2,,,https://doi.org/10.1007/s41779-022-00822-2,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S125,NdYbZr2O7 thermal barrier coating resistant to degradation by volcanic ash and CMAS,10.1016/j.corsci.2022.110795,,,https://doi.org/10.1016/j.corsci.2022.110795,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S126,Novel thermal barrier coatings with hexagonal boron nitride additives resistant to molten volcanic ash wetting,10.1016/j.corsci.2020.108587,,,https://doi.org/10.1016/j.corsci.2020.108587,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S127,Numerical simulation of volcanic ash infiltration into thermal barrier coatings,10.4028/www.scientific.net/KEM.827.367,,,https://doi.org/10.4028/www.scientific.net/KEM.827.367,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S128,On the resistance of rare earth oxide-doped YSZ to high temperature volcanic ash attack,10.1016/j.surfcoat.2016.09.033,,,https://doi.org/10.1016/j.surfcoat.2016.09.033,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S129,Partially molten environmental dust spreading on an EB-PVD TBC-analog surface: experimental results enhanced by physics informed machine learning,10.1016/j.surfin.2026.108934,,,https://doi.org/10.1016/j.surfin.2026.108934,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S131,Phase-informed design strategy of volcanic ash analogues for jet engine degradation,10.1016/j.corsci.2025.113484,,,https://doi.org/10.1016/j.corsci.2025.113484,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S132,Physicochemical effects influencing the measurements of interfacial surface tension of coal ashes,10.1016/0016-2361(91)90050-K,,,https://doi.org/10.1016/0016-2361(91)90050-K,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S133,Plasma sprayed gadolinium zirconate thermal barrier coatings that are resistant to damage by molten Ca-Mg-Al-silicate glass,10.1016/j.surfcoat.2012.03.051,,,https://doi.org/10.1016/j.surfcoat.2012.03.051,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S134,Plasma sprayed Yb4Hf3O12 thermal barrier coatings with excellent thermophysical properties and robust CMAS corrosion resistance,10.1016/j.ceramint.2023.06.021,,,https://doi.org/10.1016/j.ceramint.2023.06.021,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S137,Protocol for selecting exemplary silicate deposit compositions for evaluating thermal and environmental barrier coatings,10.1111/jace.18413,,,https://doi.org/10.1111/jace.18413,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S139,Reaction products from high temperature treatments of (LaxGd1-x)2Zr2O7 system and volcanic ash powder mixtures,10.1007/s11837-022-05302-3,,,https://doi.org/10.1007/s11837-022-05302-3,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S140,Reaction products of Sm2Zr2O7 with calcium-magnesium-aluminum-silicate (CMAS) and their evolution,10.1007/s40145-021-0514-x,,,https://doi.org/10.1007/s40145-021-0514-x,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S141,Recession behavior of plasma-sprayed ytterbium monosilicate environmental barrier coating against silicate deposits,10.1016/j.surfcoat.2026.133275,,,https://doi.org/10.1016/j.surfcoat.2026.133275,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S143,Research progress of CMAS corrosion and protection method for thermal barrier coatings in aero-engines,10.11933/j.issn.1007-9289.20221120001,,,https://doi.org/10.11933/j.issn.1007-9289.20221120001,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S145,Rheological and chemical interaction between volcanic ash and thermal barrier coatings,10.1016/j.surfcoat.2021.127049,,,https://doi.org/10.1016/j.surfcoat.2021.127049,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S146,Rheological properties of high-temperature melts of coal ashes and other silicates,10.1016/S0360-1285(00)00023-X,,,https://doi.org/10.1016/S0360-1285(00)00023-X,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S147,Rheological properties of molten kilauea iki basalt containing suspended crystals,10.1021/bk-1986-0301.ch017,,,https://doi.org/10.1021/bk-1986-0301.ch017,Crossref 反查候选（ACS 书章 1986，原记录 1984），待核对 | unpaywall 无记录,scopus_2
S148,Sand particle-induced deterioration of thermal barrier coatings on gas turbine blades,10.12989/aas.2017.4.1.037,,,https://doi.org/10.12989/aas.2017.4.1.037,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S149,Sea salt enhances the CMAS corrosion of thermal barrier coating,10.1016/j.jeurceramsoc.2025.118030,,,https://doi.org/10.1016/j.jeurceramsoc.2025.118030,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S150,Silicate ash-resistant novel thermal barrier coatings in gas turbines,10.1016/j.corsci.2021.109929,,,https://doi.org/10.1016/j.corsci.2021.109929,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S152,Size-resolved CMAS deposition characteristics on film-cooled turbine vanes,10.1016/j.powtec.2026.122525,,,https://doi.org/10.1016/j.powtec.2026.122525,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S160,Surface roughness affects metastable non-wetting behavior of silicate melts on thermal barrier coatings,10.1007/s12598-021-01773-6,,,https://doi.org/10.1007/s12598-021-01773-6,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S163,"The accumulation of molten volcanic ash in jet engines; simulating the role of magma composition, ash particle size and thermal barrier coatings",10.1016/j.jvolgeores.2019.106707,,,https://doi.org/10.1016/j.jvolgeores.2019.106707,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S165,The degradation of thermal barrier coatings by molten deposits: introducing the concept of basicity,10.1179/1878641315Y.0000000017,,,https://doi.org/10.1179/1878641315Y.0000000017,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S169,The impact of volcanic eruptions on aviation safety,10.13745/j.esf.sf.2025.7.8,,,https://doi.org/10.13745/j.esf.sf.2025.7.8,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S170,The microstructural investigation of vermiculite-infiltrated electron beam physical vapor deposition thermal barrier coatings,10.1515/chem-2018-0097,,,https://doi.org/10.1515/chem-2018-0097,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S175,Thermal cycling behaviour of plasma sprayed lanthanum zirconate based coatings under concurrent infiltration by a molten glass concoction,10.1016/j.ceramint.2012.07.084,,,https://doi.org/10.1016/j.ceramint.2012.07.084,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S177,Turbomachinery blade thermomechanical interface science and sandphobic coatings research,10.4050/f-0071-2015-10240,,,https://doi.org/10.4050/f-0071-2015-10240,Crossref 反查匹配（VFS 2015），Zotero 原记录无 DOI，待核对 | unpaywall 无记录,scopus_1
S178,Ultrafast laser fabricated triple-scale micro/nano structured NdYbZr2O7 thermal barrier coatings with molten volcanic ash repellency,10.1016/j.surfcoat.2025.132465,,,https://doi.org/10.1016/j.surfcoat.2025.132465,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S179,Understanding the thermal barrier performance of plasma-sprayed rare-earth zirconate coating against volcanic ash ingestion,10.1016/j.surfcoat.2022.128745,,,https://doi.org/10.1016/j.surfcoat.2022.128745,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S180,Viscosity of CaO-MgO-Al2O3-SiO2 (CMAS) melts: experimental measurements and comparison to model calculations,10.1016/j.jnoncrysol.2022.121508,,,https://doi.org/10.1016/j.jnoncrysol.2022.121508,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S184,"Volcanic ash-induced decomposition of EB-PVD Gd 2 Zr 2 O 7 thermal barrier coatings to Gd-oxyapatite, zircon, and Gd, Fe-zirconolite",10.1111/jace.12251,,,https://doi.org/10.1111/jace.12251,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S185,Water vapor and CMAS corrosion tests of Y2SiO5/Si thermal and environmental barrier coating,10.1016/j.heliyon.2022.e10262,,,https://doi.org/10.1016/j.heliyon.2022.e10262,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S186,YPO4: a promising environmental barrier coating candidate against corrosion of molten CMAS,10.1016/j.jeurceramsoc.2025.117359,,,https://doi.org/10.1016/j.jeurceramsoc.2025.117359,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
